Date,EEM,EFA,EWC,IEV,EPP,IWB
201308,-0.025378108,-0.01955261,-0.008686211,-0.015322001,-0.007838746,-0.02769788
201309,0.071935823,0.078266013,0.033588901,0.072696329,0.075620767,0.031773858
201310,0.041712673,0.032585696,0.036912752,0.040911151,0.043441763,0.043538282
201311,-0.002473207,0.005464481,-0.009027423,0.009036473,-0.032984714,0.027271802
201312,-0.013105077,0.012907609,0.002406325,0.023953388,-0.028078203,0.021991085
201401,-0.086254337,-0.051941277,-0.04218107,-0.045943098,-0.061202654,-0.032373752
201402,0.033778476,0.061311115,0.044754744,0.07201237,0.070207431,0.048081739
201403,0.038753799,-0.004591912,0.012679918,-0.005151453,0.02428115,0.001338048
201404,0.007802975,0.016666667,0.033502538,0.027340514,0.027032647,0.004581464
201405,0.02951851,0.015954333,0.005239031,0.00766129,0.013363029,0.022707838
201406,0.015981199,-0.014983432,0.049185668,-0.028211285,-0.015984016,0.02294686
201407,0.01364793,-0.026034811,-0.001552313,-0.042207124,0.02822335,-0.020615748
201408,0.028297581,0.001802072,0.021766169,0.006018917,0.009478673,0.040708457
201409,-0.077674212,-0.038824764,-0.066037736,-0.036752137,-0.098787167,-0.021028246
201410,0.014196343,-0.002651279,-0.025089606,-0.021960958,0.054916432,0.023937381
201411,-0.015421115,0.000625489,0.000668449,0.020185983,-0.04218107,0.027111111
201412,-0.053253012,-0.049226442,-0.036072144,-0.054468653,-0.055853921,-0.007961921
201501,-0.006871978,0.006245891,-0.083853084,0.004702563,0.004550626,-0.026869057
201502,0.044079959,0.063377981,0.059757943,0.05991107,0.050056625,0.056566562
201503,-0.014973,-0.014285714,-0.029978587,-0.022521528,-0.021570319,-0.017054132
201504,0.068527286,0.036465638,0.071376012,0.040885475,0.043209877,0.00811394
201505,-0.041044776,0.001954593,-0.046016484,0.002604167,-0.0272612,0.01271513
201506,-0.036478599,-0.047268908,-0.039956803,-0.053463203,-0.05713665,-0.018896639
201507,-0.063099445,0.02031816,-0.041994751,0.024239652,-0.013364055,0.014563943
201508,-0.088362069,-0.074251312,-0.050097847,-0.070774727,-0.11653433,-0.060222543
201509,-0.031323877,-0.044188761,-0.052327977,-0.043728976,-0.030927835,-0.032447578
201510,0.063758389,0.066120028,0.034782609,0.061055276,0.065739225,0.081083606
201511,-0.025236593,-0.00752741,-0.022268908,-0.013971111,-0.004607115,0.004061177
201512,-0.052956752,-0.031821929,-0.076063601,-0.036743516,-0.012856776,-0.024870912
201601,-0.050326188,-0.055177112,-0.02744186,-0.053602593,-0.078405835,-0.054364134
201602,-0.008177952,-0.03334535,0.034433286,-0.031085353,-0.006218202,0
201603,0.129617414,0.065821369,0.096162737,0.063349647,0.115472127,0.064582361
201604,0.004087591,0.022218334,0.071277942,0.03068269,0.018612953,0.005259928
201605,-0.03692934,-0.000855725,-0.036220472,-0.008434632,-0.021777222,0.016656493
201606,0.037439614,-0.043850634,0.00122549,-0.054540906,0.003070624,0.002659118
201607,0.053696158,0.039681118,0.029783762,0.030695951,0.064540816,0.032252545
201608,0.008976661,0.005427759,0.002773376,0.004878049,-0.023963575,0.001077408
201609,0.02518478,0.013367609,0.015013829,0.006131834,0.038055487,-0.002732014
201610,-0.008277704,-0.022154575,-0.013234722,-0.031742001,-0.029564806,-0.019840611
201611,-0.044157243,-0.017813905,0.026035503,-0.024914765,0.000487448,0.040399763
201612,-0.013802817,0.01655221,0.005382545,0.043840775,-0.036053593,0.013187887
201701,0.066552414,0.032911831,0.039388145,0.026539552,0.06671721,0.019283304
201702,0.017407606,0.011906758,-0.018027962,0.006526104,0.029140014,0.038152294
201703,0.036851803,0.032316871,0.007118771,0.043640898,0.028775322,-0.003416856
201704,0.017009393,0.024241451,-0.023065476,0.035842294,0.002908928,0.010361905
201705,0.028457314,0.035423197,-0.003808073,0.047058824,-0.013163766,0.012819546
201706,0.00461165,-0.013018468,0.02293578,-0.023573474,0.005652272,0.007147644
201707,0.058226625,0.026533742,0.042600897,0.026850181,0.044064748,0.014341687
201708,0.023515982,-0.000448229,-0.001075269,-0.000878928,0.004091301,0.003206763
201709,-0.00044613,0.023617339,0.038392537,0.030789532,-0.008363714,0.016200509
201710,0.032805177,0.016793224,-0.005183138,0.005120546,0.009948097,0.023091221
201711,-0.003889369,0.00689358,0.005210142,-0.001485884,0.017773019,0.03018657
201712,0.022125813,0.00285266,0.024187975,0.004676871,0.005680623,0.008003798
201801,0.082979626,0.05020623,0.008097166,0.055014812,0.036401674,0.054101339
201802,-0.058984911,-0.048347779,-0.069946452,-0.061772964,-0.037141704,-0.037025215
201803,0.005414411,-0.008396186,-0.008276358,-0.003206499,-0.025995807,-0.026450116
201804,-0.028169014,0.0152124,0.020682148,0.020802059,0.014421007,0.002587498
201805,-0.026214834,-0.018942607,0.021685034,-0.026470588,0.008487163,0.025740288
201806,-0.05165244,-0.035014409,-0.008002784,-0.035174795,-0.031979802,0.006290141
201807,0.035310408,0.028520233,0.024552788,0.036680832,0.018908933,0.029872352
201808,-0.03767276,-0.022357724,-0.014036289,-0.031067961,-0.018984642,0.033925377
201809,-0.005791059,0.00965251,-0.000694444,0.003562681,-0.012393999,-0.000741519
201810,-0.087604846,-0.081335491,-0.078874218,-0.077213224,-0.08234258,-0.070929442
201811,0.049029622,0.004963176,0.00490381,-0.001683097,0.034309021,0.019235889
201812,-0.049172347,-0.063565397,-0.100600601,-0.057803468,-0.055903503,-0.094298962
201901,0.10343062,0.066349098,0.128964942,0.06390593,0.078624079,0.082125604
201902,-0.015313225,0.025366943,0.029574861,0.031475252,0.033712984,0.034048507
201903,0.011310085,0.009180022,-0.007540395,0.010715118,0.011458792,0.013660674
201904,0.023532153,0.029293864,0.0329233,0.037105324,0.018082789,0.039349056
201905,-0.073298429,-0.050329539,-0.042732049,-0.054888889,-0.033597261,-0.063302752
201906,0.054040776,0.036750789,0.047200878,0.036209734,0.045837024,0.062944825
201907,-0.026567234,-0.019473604,-0.008036338,-0.026321761,-0.016726657,0.01634007
201908,-0.037826191,-0.019239721,-0.007044734,-0.017245397,-0.05081826,-0.018676337
201909,0.016919632,0.031640563,0.025186236,0.026084894,0.014745917,0.013426952
201910,0.04183998,0.033890508,-0.004152249,0.036052692,0.025933378,0.020967546
201911,-0.000939408,0.011272619,0.029534399,0.012491635,0.005883635,0.038097506
201912,0.054771979,0.018480493,0.00877489,0.034589117,0.003032929,0.023109123
