Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
201802,-0.058985054,-0.04834781,-0.069946333,-0.061772865,-0.038574374,-0.037025435,,,,,,
201803,0.005414499,-0.008395999,-0.008276508,-0.003206483,-0.026689682,-0.026449978,,,,,,
201804,-0.02816912,0.015212318,0.020682283,0.020801971,0.014216033,0.006778186,,,,,,
201805,-0.02621468,-0.018942642,0.021684822,-0.026470454,0.008415739,0.025740316,,,,,,
201806,-0.051652421,-0.035014372,-0.008002453,-0.035175089,-0.033036316,0.006290417,,,,,,
201807,0.042074024,0.048955865,0.032578149,0.060836496,0.03665258,0.029872167,,,,,,
201808,-0.037672916,-0.022357586,-0.014036095,-0.031067966,-0.019352073,0.038559515,,,,,,
201809,-0.005790991,0.009652488,-0.000694511,0.003562862,-0.012549533,-0.000741109,,,,,,
201810,-0.087604798,-0.081335559,-0.078874266,-0.077213325,-0.089731176,-0.066680559,,,,,,
201811,0.049029702,0.004963329,0.004903956,-0.001682847,0.033170838,0.019236064,,,,,,
201812,-0.049172346,-0.063565341,-0.100600939,-0.057803709,-0.059213588,-0.09429916,,,,,,
201901,0.120006436,0.077813488,0.147849644,0.071655439,0.098579654,0.088241154,,,,,,
201902,-0.015313323,0.02536688,0.02957497,0.031475468,0.032613679,0.034048632,,,,,,
201903,0.011309974,0.009180219,-0.007540382,0.010714868,0.011328955,0.01366096,,,,,,
201904,0.023532287,0.029293866,0.032923473,0.037105579,0.017761552,0.043493474,,,,,,
201905,-0.073298581,-0.050329606,-0.042732156,-0.054889049,-0.034765153,-0.063302879,,,,,,
201906,0.054041007,0.036750858,0.047200896,0.0362099,0.043828097,0.062945055,,,,,,
201907,-0.019145237,0.001679019,0.001001831,-0.000590929,0.00160444,0.021896036,,,,,,
201908,-0.037826176,-0.019239666,-0.007044564,-0.017245534,-0.053538917,-0.018676459,,,,,,
201909,0.016919485,0.031640646,0.025186144,0.026085079,0.01453165,0.013427097,,,,,,
201910,0.041840058,0.033890477,-0.004152209,0.036052764,0.025277757,0.025421865,,,,,,
