,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
198001,5.51,6.88,10.73,2.05,5.16,11.94
198002,-4.54,-3.66,0.75,-4.32,-2.3,6.15
198003,-13.72,-15.04,-20.49,-4.78,-9.15,-17.11
198004,6.63,5.54,7.14,6.51,3.53,5.14
198005,9.31,8.07,7.56,5.53,6.56,5.03
198006,4.01,4.01,5.67,3.35,1.94,4.93
198007,8.98,8.74,12.36,9.21,5.61,6.61
198008,4.68,3.71,8.98,0.68,1.16,2.81
198009,1.84,2.47,5.56,-0.75,0.55,6.32
198010,0.22,2.02,7.1,-2.45,0.18,5.27
198011,1.06,4.51,12.28,0.81,10.62,20.02
198012,-1.73,-1.55,-4.43,2.89,-2.26,-7.77
198101,1.54,1.86,-3.39,1.76,-2.08,-9.21
198102,1.49,1.41,0.39,2.46,2.58,0.85
198103,7.48,7.28,8.08,4.68,3.02,5.57
198104,2.26,3.5,3.15,-0.58,-1.48,-3.29
198105,0.56,2.49,5.26,0.37,0.44,3.07
198106,0.23,-0.64,-2.6,2.42,-1.27,-6.38
198107,-1.65,-2.03,-2.56,2.58,-1.28,-1.42
198108,-6.96,-6.29,-7.83,-4.76,-5.63,-6.2
198109,-9.65,-6.49,-6.56,-6.51,-5.2,-5.7
198110,6.16,7.08,9.66,3.31,6.03,7.83
198111,1.74,4.54,3.53,5.36,5.59,3.02
198112,-3.2,-0.35,-1.28,-3.51,-2.54,-2.83
198201,-3.78,-3.13,-3.24,-3.64,-2.09,-0.75
198202,-7.42,-3.42,-2.45,-7.56,-4.83,-2.78
198203,-2.5,-0.51,-0.35,-2.4,-1.22,1.38
198204,5.55,5.63,5.23,4.82,3.94,4.34
198205,-5.02,-2.26,-1.65,-4.52,-2.02,-2.88
198206,-6.19,-2.32,-0.75,-4.5,-2.19,-0.02
198207,-3.35,-0.97,-0.16,-5.23,-3.94,0.48
198208,10.01,7.6,7.61,15.64,12.73,11.01
198209,-0.02,5.12,6.12,0.16,1.26,2.4
198210,13.58,12.46,16.01,12.64,11.87,10.59
198211,4.91,9.58,10.89,1.02,4.86,6.93
198212,0.38,1.26,1.71,2.68,0.31,1.43
198301,9.12,5.97,7.59,4.48,4.27,2.55
198302,2.64,5.36,6.53,1.27,2.38,4.93
198303,3.52,4.3,5.57,3.69,2.77,3.49
198304,6.05,7.18,8.56,8.17,5.76,9.11
198305,9.58,5.09,7.29,1.05,-0.57,0.22
198306,3.52,3.52,5.16,3.96,2.11,5.91
198307,-0.12,-1.44,-3.81,-2.82,-2.81,-5.39
198308,-0.74,-2,-5.42,3.25,1.41,-3.36
198309,0.56,2.81,1.86,1.95,1.93,0.6
198310,-4.15,-4.61,-7.96,-0.52,-1.34,-5.75
198311,3.41,4.72,4.63,2.71,3,1.23
198312,-2.55,-0.54,-1.35,-0.64,-1.45,-0.17
198401,-0.47,-0.39,-2.4,-0.19,-0.74,-3.38
198402,-5.8,-4.48,-5.51,-4.41,-3.27,-4.27
198403,-0.53,1.87,1.23,1.32,1.58,1.7
198404,-2.2,-0.01,0.43,-0.29,0.46,1.21
198405,-6.17,-4.94,-4.18,-5.99,-4.86,-4.96
198406,2.19,3.62,2.76,3.27,3.29,1.31
198407,-7.02,-3.55,-1.38,-2.46,-1.12,-2.39
198408,13.78,11.2,8.38,14.77,12.27,8.99
198409,-1.96,-0.48,2.27,-1.54,-0.75,1.48
198410,-3.63,-0.61,0.76,-1.01,0.26,0.92
198411,-4.47,-0.94,-0.99,-0.77,-0.9,-0.98
198412,0.56,2.56,2.28,1.51,2.55,2.78
198501,16.12,11.8,8.9,11.87,9.12,5.45
198502,1.71,2.85,3.28,0.01,1.52,2.19
198503,-3.4,-1.85,-0.17,0.44,-0.18,0.37
198504,-2.84,-0.64,0.95,-1.89,-0.08,0.39
198505,1.52,3.94,4.85,2.36,6.51,7.01
198506,-1.46,2.47,3.85,1.39,1,3.21
198507,3.3,2.22,1.58,3.39,0.47,-2.71
198508,-1.33,-0.65,0.2,-1.87,-0.57,0.3
198509,-7.17,-4.91,-4.69,-4.35,-3.28,-3.82
198510,0.76,3.69,5.97,1.6,4.77,6.16
198511,6.63,6.61,7.62,8.48,7.14,6.54
198512,3.91,4.7,4.18,4.79,4.95,4.07
198601,-0.22,1.73,4.1,1.16,-0.13,2.84
198602,5.17,6.99,9.11,6.74,7.62,8.32
198603,4.31,5.01,4.86,3.02,4.83,7.29
198604,1.06,1.73,2.18,0.08,-1.21,-1.76
198605,2.94,3.13,5.34,5.19,4.47,6.9
198606,-2.35,0.81,2.61,-1.19,1.33,3.99
198607,-10.46,-7.2,-8.17,-6.97,-4.81,-5.61
198608,4.38,3.4,2.36,13.33,7.54,4.78
198609,-5.01,-5.86,-7.69,-2.46,-7.19,-11.35
198610,1.9,2.96,4.39,0.34,5.94,6.77
198611,-0.83,0.21,-1.15,1.79,2.23,1.6
198612,-3.2,-1.96,-3.24,-3.57,-2.44,-2.83
198701,11.76,10.12,12.38,10.69,12.15,14.47
198702,7.96,7.37,7.75,7.16,4.54,3.23
198703,1.39,2.25,3.44,1.48,1.26,2.78
198704,-3.86,-3.15,-2.13,0.72,-3.22,-0.57
198705,-0.38,-0.21,-0.83,1.71,0.32,0.68
198706,2.35,3.9,2.5,5.12,4.9,4.47
198707,2.13,3.17,4.82,2.76,4.11,5.51
198708,3.04,3.57,3.16,5.72,3.89,3.88
198709,-2.73,-1.19,-1.41,-1.57,-3.09,-1.37
198710,-26.31,-27.81,-32.5,-13.8,-21.74,-23.33
198711,-5.93,-3.54,-5.27,-4.98,-8.26,-7.97
198712,3.96,6.25,11.5,3.75,6.66,7.95
198801,7.87,5.33,2.05,10.35,6.31,1.68
198802,8.56,7.75,7.69,7.28,3.77,5.22
198803,2.99,3.78,4.51,-1.86,-3.34,-2.21
198804,0.63,1.24,2.93,-0.56,0.63,1.62
198805,-2.93,-1.66,-1.46,0.8,0.6,0.58
198806,7.13,5.71,6.79,8.96,4.5,3.44
198807,-0.49,-1.14,-0.51,-1.86,-0.53,-0.53
198808,-3.07,-1.99,-2.54,-2.77,-2.83,-2.6
198809,1.25,2.75,3.06,4.76,4.37,3.49
198810,-2.07,-0.87,-0.2,1.53,2.4,2.33
198811,-3.91,-2.19,-3.2,-1.52,-1.46,-1.56
198812,2.62,3.29,4.32,2.34,1.87,1.62
198901,4.62,3.99,5.18,7.95,6.43,7.06
198902,0.71,0.4,1.22,-2.07,-2.5,-0.6
198903,1.12,1.97,3.42,-0.41,1.81,4.31
198904,3.07,3.85,5.26,4.44,5,5.8
198905,3.17,4.08,4.31,2.94,4.02,4.83
198906,-2.41,-0.24,-2.05,-0.57,-0.76,-0.07
198907,1.55,4.07,5.99,4.48,7.62,10.86
198908,1.66,3.04,3.45,3.45,2.21,1.43
198909,-1.24,0.5,1.82,-2.46,-1.11,1.29
198910,-7.23,-4.88,-5.55,-3.56,-2.24,-2.61
198911,-1.38,0.79,1.22,-0.67,2.68,1.93
198912,-1.52,-0.14,0.87,-1.22,3.05,1.99
199001,-8.37,-7.3,-10.22,-3.61,-6.35,-8.31
199002,2.92,1.99,3.8,3.27,1.34,1.3
199003,1.94,3.1,4.77,2.26,1.37,3.02
199004,-5.06,-3.27,-2.63,-4.46,-2.77,-2.12
199005,5.01,4.43,10.02,8.77,9.06,9.83
199006,-0.39,0.47,0.16,-3.88,-1.31,0.37
199007,-6.55,-3.45,-2.73,-8.01,-1.45,0.37
199008,-14.67,-11.11,-13.18,-10.59,-9.68,-8.32
199009,-12.91,-7.78,-8.48,-11.83,-4.08,-4.71
199010,-10.33,-5.52,-3.92,-6.78,-0.7,0.24
199011,8.6,6.41,7.12,14.89,7.58,5.41
199012,1.07,4.2,4.98,5.28,4.5,1.94
199101,10.45,7.15,8.09,13.86,5.89,3.31
199102,15.47,10.32,10.9,11.69,6.79,7.04
199103,5.93,4.53,8.98,0.93,1.8,3.62
199104,0.51,1.7,0.58,4.09,0.54,-0.7
199105,2.08,3.5,5.45,7.54,3.6,3.95
199106,-4.23,-2.83,-5.42,-5.89,-4.94,-3.76
199107,1.76,2.87,6.49,3.21,3.11,7.11
199108,1.74,3.29,5.38,4.37,1.33,3.88
199109,-1.57,0.29,1.96,-1.5,-1.11,-1.44
199110,0.76,1.59,4.13,-0.19,1.65,2.55
199111,-5.05,-2.65,-4.75,-5.35,-2.92,-3.37
199112,3.49,6.38,10.72,6.9,11.24,16.04
199201,11.01,6.81,9.48,1.41,-2.29,-2.04
199202,3.18,3.36,3.01,2.23,0.78,1.34
199203,-3.53,-0.93,-3.89,-2.71,-1.48,-2.93
199204,-3.63,-2.3,-4.31,4.3,2.82,-0.19
199205,1.63,0.49,0.64,0.47,0.01,1.88
199206,-5.1,-2.96,-4.23,-1.62,-0.72,-3.64
199207,1.81,3.23,4.29,3.45,4.37,4.07
199208,-3.04,-2.16,-3.13,-2.07,-1.55,-3.01
199209,-0.18,1.82,2.62,1.36,1.36,1.54
199210,2.2,2.32,3.71,-0.46,0.28,2.98
199211,9.35,6.12,7.77,3.54,3.3,4.81
199212,0.96,3.39,5.55,-1.82,2.13,2.22
199301,2.26,3.33,5.11,-2.96,0.78,3.86
199302,-4.67,-1.43,-1.39,-1.54,1.07,1.48
199303,1.05,2.17,4.75,0.64,1.96,4.39
199304,-4.14,-1.73,-2.92,-2.83,-2.45,-3.3
199305,5.99,3.62,4.44,3.31,1.58,5.3
199306,-1.54,0.31,2.04,-2.39,0.37,3.13
199307,0,1.84,1.91,-2.75,-0.16,1.65
199308,2.58,3.14,5.76,3.8,2.91,5.91
199309,0.96,2.7,4.44,-2.02,-0.23,1.24
199310,4.23,2.47,2.82,4.64,0.2,0.59
199311,-0.95,-2.39,-4.22,2.61,-2.56,-3.6
199312,1.41,3.18,3.8,0.05,2.23,2.39
199401,3.26,2.51,3.07,3.79,2.3,3.99
199402,-0.41,-0.28,-0.97,-2.41,-2.67,-2.45
199403,-4.39,-4.7,-6.33,-4.29,-4,-4.9
199404,-1.71,-0.37,0.24,1.27,1.63,0.1
199405,0.29,0.04,-2.49,1.73,1.31,0.12
199406,-3.25,-1.27,-3.22,-1.99,-2.55,-3.77
199407,0.84,1.19,2.54,3.31,3.88,1.98
199408,5.6,5.03,6.15,3.8,3.25,6.36
199409,-0.62,-0.66,1.29,-2.57,-2.41,-1.86
199410,-1.32,-0.61,1.17,1.6,2.08,2.09
199411,-4.62,-3.57,-3.26,-2.14,-3.89,-3.86
199412,-2.29,1.88,3.41,0.04,1.73,1.29
