,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
2003,106.62,67.84,55.43,69.09,70.69,84.56,49.38,40.76,40.48,56.7,70.54,47.35,38.56,38.41,37.18,71.59,39.46,43.86,31.05,42.4,63.36,43.7,18.4,15.4,32.03
2004,16.26,15.22,27.16,17.12,16.56,14.48,23.05,22.11,24.25,16.24,14.45,21.32,22.99,16.82,16.71,15.51,21.51,20.32,15.57,16.74,9.13,14.39,5.66,10.24,12.85
2005,-4.59,3.94,2.8,8.7,14.74,-1.52,2.88,9.15,10.7,12.92,-0.71,4.1,8.01,11.01,14.1,0.57,7.92,12.62,16.92,15.91,4.83,-1.05,6.57,11.5,13.67
2006,16.51,15.85,20.16,22.74,15.16,17.19,24.58,15.21,19.39,9.96,19.74,19.45,11.91,12.37,12.82,14.46,16.05,11.74,14.33,7.29,21.78,16.23,18.39,10.54,7.11
2007,-18.42,-13.34,-8.71,-7.26,1.32,-13.86,-3.46,2.83,1.28,3.49,-12.32,0.39,4.37,5.84,20.39,-20.32,0.73,6.74,11.15,11.25,-10.35,-6.45,4.72,15.38,19.38
2008,-52.55,-43.35,-37.47,-33.64,-42.73,-43.8,-34.53,-31.67,-30.58,-38.93,-43.59,-41.17,-35.41,-29.68,-36.48,-59.22,-40.67,-34.07,-32.35,-44.31,-69.32,-41.42,-31.66,-27.75,-38.66
2009,155.37,57,32.35,31.75,15.61,154.35,71.57,44.51,28.8,9.65,128.84,76.04,53.34,27.18,8.65,100.15,72.84,49.43,26.5,16.11,70.97,49.4,47.56,23.27,13.87
2010,25.26,29.74,30.49,33.91,41.02,30.72,33.22,24.68,29.92,37.06,27.84,27.68,32.29,26.63,25.34,23.38,20.19,36.27,27.99,32.32,14.37,14.61,7.25,21.39,23.17
2011,-23.34,-3.77,-1.15,-4.15,-7.42,-18.54,-4.8,-1.29,-1.61,0.74,-16.05,4.2,2.05,4.62,-2.87,-7.96,-1.25,0.85,5.65,-5.13,-12.69,4.26,9.45,0.37,-1.17
2012,13.6,12.92,19.13,15.59,27.06,16.16,18.73,13.12,22.92,20.94,11.52,22.31,18.71,15.19,21,14.47,17.79,19.59,20.28,18.24,11.8,19.07,13.98,14.12,15.06
2013,47.5,41.34,39.29,54.06,53.24,37.46,36.88,42.97,50.05,53.31,40.37,43.09,40.39,45.34,48.37,30.06,36.38,43.45,35.49,40.83,30.4,29.26,38.51,34.78,32.99
2014,-5.17,5.56,12.2,6.16,-1.62,-1.42,11.88,9.35,7.41,6.02,3.36,10.21,9.15,3.28,-0.09,16.03,11.07,14.75,11.02,4.69,18.87,10.9,13.97,12.79,18.15
2015,-26.59,-11.12,3.19,9.44,-7.98,-18.98,-3.79,-0.89,3.55,-0.97,-32.55,-7.47,-0.63,-4.67,8.58,-25.05,-8.89,1.1,5.38,0.98,-19.12,-3.79,-0.08,2.74,7.58
2016,28.91,20.37,30.3,34.34,11.49,34.99,29.86,29.41,19.33,12.87,31.99,21.43,23.8,18.77,6.69,31.44,18.28,15.39,9.36,10.02,47.12,28.56,15.52,5.39,3.07
2017,13.79,19.11,13.68,15.7,16.86,6.98,21.3,17.39,12.09,19.48,15.33,22.44,17.33,13.23,15.29,14.21,26.53,21.78,19.23,28.84,10.24,21.08,25.86,22.07,16.78
2018,-26.02,-12,-5.39,-13.03,-10.83,-8.46,-9.78,-11,-12.48,-5.51,-17.43,-15.64,-12.96,-14.8,-6.73,-13.9,-11.84,-8.42,-8.04,-4.06,-21.21,-9.98,-2.73,-5.94,3.99
2019,28.48,18.96,14.39,19.58,24.43,17.44,28.59,31.77,27.13,23.07,23.59,29.3,27.02,25.83,26.93,24.04,27.92,34.47,27.95,30.57,44.69,31.5,33.51,27.84,31.71
2020,48.35,21.71,0.9,13.69,38.09,35.97,12.2,5.94,22.15,31.39,39.92,14.13,10.62,13.83,41.13,6.12,20.9,8.57,13.65,39.74,-5.29,10.54,17.42,16.29,32.78
2021,12.79,22.64,22.01,34.41,24.43,17.9,22.98,28.35,29.57,32.62,10.79,26.21,20.21,18.62,13.71,27.71,32.1,27.36,22.67,11.13,32.29,43.5,28.98,27.82,10.98
2022,-44.19,-16.86,-10.48,-8.99,-9.28,-35.92,-16.27,-3.83,-11.21,-10.23,-32.11,-17.81,-11.34,-9.13,-14.93,-36.93,-15.14,-11.43,-9.66,-16.56,-35.75,-20.93,-20.36,-14.32,-12.85
2023,8.82,17.15,10.44,-6.45,0.81,26.02,20.98,19.23,12.83,12.45,30.22,16.43,20.49,16.01,22.74,41.24,18.53,18.01,12.78,12.89,70.33,34.26,21.46,19.24,20.39
